Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,629.0,8.0,50.0,3053.0,0.1,40.00899999999998,0.0,0.0,497.52796959877014,,,,,,,,,,,,,,,,,,,,,16.98071752070417,13.141358719195289,39.23840168894098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,709.0,9.0,80.0,3133.0,0.1,73.00600000000003,0.0,0.0,504.8498868942261,,,,,,,,,,,,,,,,,,,,,33.85151293813705,22.002032179268834,70.43868589805926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,823.0,10.0,114.0,3247.0,0.1,106.00700000000003,0.0,0.0,515.0239357948303,,,,,,,,,,,,,,,,,,,,,48.937098911979234,30.998511132319432,100.6293287522101,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,873.0,11.0,50.0,3297.0,0.1,37.01199999999997,0.0,0.0,519.7803633213043,,,,,,,,,,,,,,,,,,,,,14.62930316761295,12.442230164182813,36.353204898210876,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,920.0,12.0,47.0,3344.0,0.1,38.00799999999998,0.0,0.0,524.5228340625763,,,,,,,,,,,,,,,,,,,,,16.373434509699905,12.461461231403414,37.31303733968614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,993.0,13.0,73.0,3417.0,0.1,64.00800000000004,0.0,0.0,531.2341675758362,,,,,,,,,,,,,,,,,,,,,28.7601264655511,19.867380765916344,62.032513763027055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1023.0,14.0,30.0,3447.0,0.1,19.010000000000012,0.0,0.0,534.2265095710754,,,,,,,,,,,,,,,,,,,,,6.93092750120885,6.716775142151328,18.8397328008326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1159.0,15.0,136.0,3583.0,0.1,118.01700000000008,0.0,0.0,546.410037279129,,,,,,,,,,,,,,,,,,,,,50.5016974768231,35.78916548529572,111.37140057289734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1198.0,16.0,39.0,3622.0,0.1,27.011000000000013,0.0,0.0,550.396586894989,,,,,,,,,,,,,,,,,,,,,10.300960867219409,9.30247235651697,26.662560985588645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1244.0,17.0,46.0,3668.0,0.1,36.00899999999998,0.0,0.0,554.7797544002533,,,,,,,,,,,,,,,,,,,,,15.0871226159139,11.95649729824536,35.38572843080114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
